Item,Amount (Monthly),Category
Mortgage Rent,,Non-Discretionary
Property Taxes,,Non-Discretionary
Home Maintenance,,Non-Discretionary
Homeowner's Insurance,,Non-Discretionary
Electric,,Non-Discretionary
Gas,,Non-Discretionary
Water,,Non-Discretionary
Cable,,Non-Discretionary
Telephone,,Non-Discretionary
Groceries,,Non-Discretionary
Personal Care,,Non-Discretionary
Clothing/Dry Cleaning,,Non-Discretionary
Domestic Help,,Non-Discretionary
Professional Dues,,Non-Discretionary
Dependent/Child Care,,Non-Discretionary
Education/School,,Non-Discretionary
Auto Payment (s),,Non-Discretionary
Auto Insurance,,Non-Discretionary
Parking/Tolls/Bus/Train,,Non-Discretionary
Maintenance/License,,Non-Discretionary
Credit Card Payment,,Non-Discretionary
Savings,,Savings
Investing,,Savings
Dining Out,,Fun Money
Recreation/Club Dues,,Fun Money
Movies/Sporting Events,,Fun Money
Hobbies,,Fun Money
Vacation/Travel,,Fun Money
Gifts/Contributions,,Fun Money
